Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
Afghanistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",636.693,582.323,586.204,580.817,591.667,614.991,624.1,630.714,2019
Albania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,542.76","5,284.44","5,323.19","5,286.68","5,991.09","6,414.39","6,895.50","7,379.46",2019
Algeria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,079.65","4,118.74","3,939.54","3,262.58","3,363.97","3,278.13","3,222.88","3,183.39",2019
Angola,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,303.69","3,620.59","2,974.13","2,012.15","2,080.35","2,081.71","2,149.72","2,239.90",2017
Antigua and Barbuda,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","15,655.23","16,860.96","17,195.46","14,168.26","13,824.22","15,548.97","16,618.54","17,704.92",2011
Argentina,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","14,618.33","11,624.89","9,890.31","8,554.64","9,121.56","9,391.04","9,707.69","10,013.43",2019
Armenia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,868.91","4,195.96","4,604.77","4,155.27","4,125.33","4,362.14","4,725.94","5,121.07",2015
Aruba,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","27,838.91","28,694.90","29,813.78","21,832.92","22,851.99","25,995.41","28,723.79","31,427.68",2017
Australia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","55,914.69","56,465.24","54,464.06","52,824.82","62,723.50","65,183.15","67,474.30","69,484.49",2019
Austria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","47,317.91","51,246.15","50,246.61","48,154.38","53,859.01","57,279.45","59,518.22","61,733.39",2019
Azerbaijan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,217.65","4,759.80","4,813.67","4,218.00","4,882.73","4,916.38","4,996.91","5,114.67",2019
The Bahamas,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","33,543.00","34,583.83","35,664.03","29,220.54","30,069.96","32,890.22","34,483.64","35,975.10",2018
Bahrain,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","23,631.59","25,051.02","25,929.95","22,402.00","24,294.24","24,718.86","25,238.64","25,842.43",2019
Bangladesh,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,563.81","1,693.77","1,854.67","1,998.43","2,122.07","2,330.84","2,542.20","2,754.15",2013
Barbados,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","17,423.25","17,758.08","18,139.48","15,162.57","16,035.56","17,562.51","18,726.12","19,585.90",2019
Belarus,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,757.29","6,322.32","6,798.35","6,398.87","6,487.03","6,716.99","6,948.08","7,264.57",2019
Belgium,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","44,268.20","47,723.49","46,541.50","44,529.39","50,102.50","53,020.31","54,972.23","56,699.47",2020
Belize,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,725.18","4,728.78","4,699.28","3,944.94","3,969.59","4,222.85","4,399.79","4,487.78",2020
Benin,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,136.19","1,240.84","1,218.28","1,250.87","1,387.60","1,484.41","1,566.95","1,658.31",2017
Bhutan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,234.75","3,280.72","3,371.02","3,358.96","3,296.11","3,621.36","3,889.20","4,252.38",2015
Bolivia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,368.76","3,565.50","3,566.42","3,359.73","3,624.15","3,855.82","4,094.20","4,330.23",2017
Bosnia and Herzegovina,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,392.37","6,073.93","6,120.16","5,912.98","6,727.78","7,144.34","7,501.45","7,904.32",2018
Botswana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,883.16","8,290.26","7,979.01","6,780.72","7,816.98","8,233.76","8,663.70","8,992.03",2019
Brazil,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,978.09","9,194.15","8,932.39","6,783.05","7,010.84","7,643.80","8,218.56","8,878.58",2019
Brunei Darussalam,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","28,236.77","30,668.37","29,314.11","26,089.28","33,096.59","32,034.52","31,864.95","32,346.33",2019
Bulgaria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,381.99","9,470.58","9,863.02","9,919.30","11,321.32","12,355.64","13,268.65","14,138.97",2019
Burkina Faso,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",738.014,820.533,774.873,790.968,876.031,928.709,977.055,"1,026.86",2018
Burundi,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",291.859,271.289,257.435,253.593,265.184,273.559,281.908,290.184,2016
Cabo Verde,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,239.07","3,616.44","3,601.73","3,147.69","3,555.13","3,823.48","4,075.29","4,347.65",2018
Cambodia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,446.88","1,578.02","1,713.31","1,655.39","1,720.20","1,820.87","1,938.23","2,072.14",2019
Cameroon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,424.60","1,535.19","1,501.87","1,469.91","1,649.01","1,722.37","1,792.71","1,879.64",2010
Canada,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","45,191.96","46,532.17","46,399.71","43,278.22","49,221.69","52,501.98","54,825.10","56,800.31",2019
Central African Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",450.744,488.563,479.846,489.869,552.343,590.847,624.554,659.092,2004
Chad,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",671.18,713.034,685.677,653.98,740.829,762.001,780.26,811.483,2004
Chile,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","15,033.26","15,862.05","14,615.95","12,989.60","15,617.13","16,458.66","17,143.70","17,819.67",2019
China,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,823.46","9,919.81","10,242.92","10,483.88","11,819.03","12,763.35","13,736.01","14,764.74",2019
Colombia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,327.38","6,704.75","6,419.48","5,335.59","5,752.67","6,045.22","6,369.97","6,708.15",2019
Comoros,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,300.57","1,386.01","1,362.42","1,361.86","1,420.42","1,454.92","1,477.98","1,504.57",2015
Democratic Republic of the Congo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",456.398,553.329,573.513,540.534,587.596,600.927,617.071,640.129,2019
Republic of Congo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,555.44","3,007.47","2,745.80","2,185.58","2,505.11","2,514.05","2,627.33","2,661.33",2018
Costa Rica,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","12,185.26","12,412.15","12,599.21","11,982.28","11,805.84","12,318.73","12,835.33","13,393.53",2019
C?te d'Ivoire,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,066.85","2,265.29","2,227.98","2,277.72","2,566.67","2,725.18","2,870.08","3,019.95",2015
Croatia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","13,450.09","15,009.70","14,935.95","14,072.08","16,246.54","17,740.62","19,185.32","20,620.04",2019
Cyprus,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","26,580.49","29,300.33","28,487.95","27,053.80","29,551.25","31,223.21","32,497.83","33,744.28",2020
Czech Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","20,666.67","23,463.60","23,539.08","22,578.83","25,731.55","27,609.14","29,158.34","30,669.40",2019
Denmark,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","57,772.55","61,731.15","60,299.59","60,494.20","67,218.24","70,205.79","72,993.34","76,009.29",2019
Djibouti,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,711.46","2,872.07","3,103.07","3,074.39","3,213.97","3,366.19","3,540.39","3,723.61",2018
Dominica,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,114.37","7,081.38","7,731.79","6,903.76","6,989.10","7,545.16","7,997.63","8,397.23",2011
Dominican Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,874.94","8,340.96","8,595.61","7,530.19","7,951.35","8,452.84","8,988.61","9,546.21",2019
Ecuador,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,216.61","6,318.48","6,260.60","5,520.36","5,665.18","5,768.78","5,849.39","5,947.93",2019
Egypt,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,484.54","2,577.27","3,056.98","3,586.97","3,831.88","4,092.99","4,344.41","4,548.01",2020
El Salvador,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,910.26","4,067.66","4,186.96","3,794.31","4,031.27","4,193.97","4,341.42","4,478.40",2018
Equatorial Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,624.53","10,106.21","8,105.79","6,772.73","8,073.83","7,584.26","7,466.75","7,423.23",2015
Eritrea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",557.857,580.845,566.731,588.253,624.878,660.282,686.379,713.425,0
Estonia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","20,451.24","23,181.22","23,720.41","23,330.09","26,469.64","28,767.21","30,609.51","32,509.95",2019
Eswatini,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,031.06","4,225.91","4,009.99","3,504.45","3,710.13","3,793.28","3,870.20","3,992.42",2017
Ethiopia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",829.313,852.011,968.253,994.197,951.757,926.207,"1,000.50","1,097.30",2016
Fiji,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,049.89","6,272.73","6,144.04","4,797.32","5,069.01","5,632.12","6,114.25","6,531.69",2019
Finland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","46,437.21","50,082.60","48,749.49","48,981.44","54,330.37","57,339.01","59,361.49","61,243.67",2019
France,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","40,134.13","43,044.25","41,810.72","39,907.14","44,995.24","47,934.42","49,377.72","50,756.91",2019
Gabon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,370.35","8,220.50","8,111.34","7,421.18","8,601.49","8,683.77","8,813.21","9,014.79",2004
The Gambia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",676.656,729.035,774.206,790.829,833.858,881.785,934.648,986.33,2018
Georgia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,358.59","4,718.79","4,693.66","4,247.94","4,360.71","4,851.74","5,294.24","5,751.25",2015
Germany,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","44,537.10","47,832.06","46,472.62","45,732.80","51,860.11","55,144.37","57,014.54","58,976.41",2020
Ghana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,037.95","2,216.84","2,220.82","2,222.91","2,373.88","2,485.42","2,571.07","2,670.99",2018
Greece,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","18,578.29","19,769.33","19,147.46","17,670.29","19,672.53","21,160.17","21,988.07","22,777.93",2019
Grenada,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,152.83","10,474.88","10,735.38","9,185.56","9,171.42","9,773.69","10,424.72","10,965.57",2016
Guatemala,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,230.85","4,235.78","4,354.34","4,288.75","4,439.46","4,538.16","4,680.65","4,894.70",2019
Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",796.959,916.223,"1,012.50","1,106.47","1,141.25","1,187.63","1,238.65","1,290.32",2014
Guinea-Bissau,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",864.141,866.451,810.558,789.877,887.592,940.401,996.186,"1,054.55",2017
Guyana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,104.16","6,120.54","6,594.38","7,327.17","9,192.39","11,468.03","13,703.07","14,236.86",2019
Haiti,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,294.28","1,435.25","1,272.62","1,252.87","1,943.44","1,938.64","2,003.45","2,058.85",0
Honduras,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,451.97","2,484.69","2,550.67","2,382.88","2,585.97","2,677.33","2,777.19","2,888.81",2019
Hong Kong SAR,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","46,032.29","48,313.14","48,626.24","46,753.46","49,036.30","51,420.71","53,784.82","56,284.73",2020
Hungary,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","14,590.90","16,406.10","16,725.59","15,820.10","18,075.43","19,883.33","21,207.98","22,467.64",2019
Iceland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","73,085.13","75,259.67","69,572.37","59,633.72","65,273.42","66,960.65","67,727.25","69,823.75",2018
India,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,980.69","1,996.95","2,098.93","1,964.88","2,190.90","2,357.64","2,532.09","2,714.71",2013
Indonesia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,885.47","3,947.25","4,196.30","3,921.62","4,256.34","4,570.64","4,903.02","5,210.44",2020
Islamic Republic of Iran,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,471.79","5,543.84","6,980.39","7,554.77","8,034.09","8,329.17","8,536.32","8,752.03",2019
Iraq,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,178.92","5,690.51","5,686.61","4,288.77","4,632.15","4,812.05","5,005.29","5,172.00",2013
Ireland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","69,950.66","79,143.80","80,481.69","83,849.81","94,555.79","101,287.14","106,245.16","110,458.48",2019
Israel,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","40,491.33","41,720.58","43,603.01","43,688.58","47,602.11","49,334.63","50,938.55","52,426.06",2019
Italy,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","32,367.11","34,605.68","33,219.85","31,288.02","34,996.91","37,115.88","38,202.48","39,095.28",2019
Jamaica,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,413.03","5,729.76","5,781.79","5,095.64","5,327.73","5,809.72","6,193.14","6,515.10",2019
Japan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","38,903.30","39,818.80","40,801.66","40,146.07","42,927.73","45,310.91","48,118.31","49,904.90",2015
Jordan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,273.91","4,341.04","4,425.69","4,259.26","4,358.27","4,528.16","4,753.92","5,002.53",2018
Kazakhstan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,186.71","9,749.07","9,750.43","8,732.64","9,827.64","10,232.26","10,783.08","11,266.22",2019
Kenya,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,737.80","1,888.20","2,004.42","2,039.05","2,129.31","2,214.09","2,322.91","2,445.89",2019
Kiribati,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,656.63","1,748.65","1,695.30","1,687.51","1,917.50","1,981.35","2,039.03","2,083.07",2017
Korea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","31,600.73","33,433.17","31,846.28","31,496.77","34,865.72","36,368.60","37,938.85","39,563.96",2019
Kosovo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,027.27","4,432.56","4,418.54","4,309.84","4,855.72","5,261.98","5,554.83","5,866.72",0
Kuwait,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","27,193.90","30,436.42","28,339.16","22,105.09","25,289.93","25,141.63","25,093.85","25,233.73",2018
Kyrgyz Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,254.51","1,321.95","1,323.47","1,146.39","1,122.57","1,165.69","1,214.31","1,261.80",2019
Lao P.D.R.,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,452.97","2,567.89","2,625.49","2,625.53","2,773.08","2,929.55","3,093.26","3,263.95",2019
Latvia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","15,613.44","17,799.83","17,739.47","17,559.86","19,824.23","21,573.09","22,869.08","24,160.67",2019
Lebanon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,792.60","8,012.54","7,668.34","2,802.14",n/a,n/a,n/a,n/a,2012
Lesotho,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,166.07","1,140.51","1,117.39","1,002.98","1,177.93","1,250.14","1,312.21","1,350.33",2016
Liberia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",766.314,731.317,669.271,646.27,700.469,748.835,764.24,800.205,2016
Libya,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,685.07","6,361.58","6,055.46","3,280.83","3,616.57","3,821.92","4,052.29","4,155.02",2017
Lithuania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","16,879.45","19,184.84","19,552.90","19,916.50","22,244.97","23,635.58","24,827.81","26,019.57",2019
Luxembourg,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","108,621.75","117,859.72","115,838.77","116,921.11","131,781.72","139,125.62","143,915.92","148,001.91",2020
Macao SAR,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","77,257.33","82,862.88","81,156.61","36,350.16","58,003.70","82,252.93","86,350.03","90,926.66",2019
