Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
Madagascar,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",515.935,533.197,539.953,501.756,521.485,551.078,581.963,608.966,2010
Malawi,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",325.01,350.441,377.721,406.65,431.581,434.462,436.885,442.249,2016
Malaysia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,965.12","11,077.43","11,213.12","10,269.86","11,603.69","12,350.03","13,251.03","14,096.46",2019
Maldives,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","13,201.45","14,476.59","15,148.80","9,934.09","11,800.60","13,440.04","15,187.79","16,203.39",2014
Mali,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",854.976,922.55,907.218,897.287,983.379,"1,046.28","1,090.69","1,135.59",2017
Malta,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","28,713.10","31,263.20","30,832.79","28,293.63","31,576.37","33,968.92","35,881.57","38,040.35",2020
Marshall Islands,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,898.58","4,061.68","4,363.11","4,240.10","4,205.50","4,404.51","4,568.37","4,715.21",2018
Mauritania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,747.75","1,775.32","1,953.87","1,971.45","2,178.89","2,012.95","2,078.94","2,152.67",2014
Mauritius,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,485.01","11,205.90","11,090.43","8,993.48","9,639.31","10,571.28","11,115.14","11,528.41",2018
Mexico,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,342.92","9,753.19","10,024.42","8,421.19","9,246.01","9,614.98","9,965.80","10,346.05",2020
Micronesia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,522.11","3,854.14","3,952.22","3,899.48","3,820.72","4,008.89","4,165.54","4,268.74",2018
Moldova,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,478.52","4,141.84","4,458.19","4,365.85","4,637.58","4,949.79","5,293.18","5,660.40",2019
Mongolia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,595.38","4,056.73","4,245.46","3,916.09","4,171.69","4,503.62","4,798.78","5,066.81",2019
Montenegro,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,800.27","8,854.78","8,902.68","7,688.57","9,064.16","9,787.85","10,345.67","10,844.96",2019
Morocco,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,147.10","3,353.10","3,363.61","3,158.32","3,414.83","3,580.82","3,736.99","3,902.07",2018
Mozambique,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",445.192,484.87,487.687,449.63,424.911,441.525,480.569,537.048,2015
Myanmar,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,177.08","1,271.68","1,302.28","1,527.44","1,422.87","1,473.76","1,571.88","1,684.34",2015
Namibia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,438.76","5,664.46","5,100.07","4,175.18","4,371.20","4,487.55","4,563.93","4,627.95",2019
Nauru,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,152.26","9,398.51","9,365.10","8,866.87","10,124.97","10,666.04","10,812.39","10,835.84",2016
Nepal,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,048.67","1,178.86","1,201.44","1,195.59","1,235.61","1,307.36","1,408.63","1,507.07",2018
Netherlands,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","48,799.87","53,224.69","52,490.59","52,247.54","58,003.35","61,300.80","63,392.72","65,368.04",2019
New Zealand,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","42,329.68","42,803.49","42,166.32","41,127.16","47,498.65","49,026.92","50,521.79","52,328.71",2020
Nicaragua,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,156.15","2,022.14","1,920.29","1,869.71","1,876.90","1,916.97","1,944.56","1,968.67",2019
Niger,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",517.771,572.564,553.905,565.867,632.633,710.329,777.628,816.61,2009
Nigeria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,968.56","2,153.09","2,229.85","2,083.16","2,431.63","2,714.77","3,010.39","3,325.29",2012
North Macedonia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,462.38","6,111.19","6,044.44","5,918.11","6,656.68","7,154.70","7,585.41","8,034.22",2019
Norway,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","75,306.67","82,082.12","75,700.22","67,176.43","81,995.39","84,931.86","87,027.25","88,686.26",2018
Oman,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","15,482.13","17,338.96","16,529.35","14,215.58","16,211.88","16,858.16","16,743.57","16,626.75",2019
Pakistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,544.17","1,557.89","1,348.68","1,260.01",n/a,n/a,n/a,n/a,2020
Palau,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","16,062.31","16,264.86","16,064.02","14,411.66","12,849.76","14,192.01","16,274.76","16,739.15",2018
Panama,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","15,178.30","15,612.33","15,830.98","12,373.05","13,689.51","14,341.92","15,162.16","16,034.48",2019
Papua New Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,755.49","2,861.45","2,886.59","2,684.77","2,737.17","2,722.81","2,715.95","2,783.51",2019
Paraguay,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,609.85","5,725.90","5,332.99","4,946.46","5,145.64","5,390.98","5,685.51","5,935.27",2019
Peru,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,725.98","7,000.16","6,958.10","6,083.87","6,678.27","7,050.99","7,389.47","7,643.75",2018
Philippines,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,153.31","3,279.52","3,511.94","3,330.36","3,646.08","3,876.81","4,122.45","4,384.54",2020
Poland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","13,868.91","15,468.26","15,689.43","15,653.56","16,930.15","18,406.81","19,892.99","21,326.41",2020
Portugal,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","21,482.83","23,573.29","23,287.02","22,488.62","25,064.64","27,069.33","28,319.92","29,546.22",2020
Puerto Rico,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","31,347.27","31,559.06","32,809.06","30,317.39","32,232.71","33,344.50","34,262.03","34,990.56",2019
Qatar,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","59,127.49","66,421.62","62,918.85","52,144.16","59,143.27","61,962.91","63,191.00","64,912.13",2018
Romania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,776.67","12,362.98","12,867.45","12,797.10","14,968.02","16,377.89","17,591.31","18,786.41",2019
Russia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,724.00","11,261.72","11,511.51","10,037.24","11,654.37","12,115.32","12,470.40","12,849.48",2019
Rwanda,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",784.138,795.755,816.358,818.99,820.582,851.657,916.704,982.739,2012
Samoa,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,211.63","4,197.73","4,237.69","3,960.61","3,671.85","3,763.79","3,912.91","4,098.89",2016
San Marino,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","45,887.69","49,477.28","48,368.00","44,818.19","49,765.07","52,505.55","53,841.45","54,918.60",2019
S?o Tom? and Pr?ncipe,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,842.33","1,988.72","1,980.35","1,918.01","2,174.23","2,351.45","2,487.00","2,637.35",2011
Saudi Arabia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","21,113.96","23,538.93","23,266.49","20,178.23","22,700.14","22,869.19","23,168.48","23,629.95",2019
Senegal,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,361.22","1,458.73","1,430.21","1,459.51","1,622.02","1,724.58","1,907.22","2,058.69",2018
Serbia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,292.55","7,252.40","7,391.84","7,635.65","8,748.31","9,462.48","10,146.27","10,891.42",2019
Seychelles,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","16,180.94","16,143.34","16,389.26","11,638.72","9,665.57","10,240.35","12,010.77","13,968.99",2015
Sierra Leone,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",495.812,533.972,527.026,526.514,541.873,533.433,531.591,541.435,2017
Singapore,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","61,175.44","66,675.77","65,641.31","58,902.22","64,103.20","66,326.17","68,641.66","71,001.16",2019
Slovak Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","17,562.97","19,428.17","19,281.32","19,071.20","21,529.08","23,269.00","24,717.56","26,064.73",2019
Slovenia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","23,510.11","26,216.43","26,036.84","25,210.72","28,103.80","30,125.58","31,721.75","33,337.55",2020
Solomon Islands,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,375.04","2,496.89","2,462.55","2,392.24","2,454.83","2,637.92","2,823.88","2,970.96",2015
Somalia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",326.515,332.224,338.155,326.982,346.683,354.109,362.395,371.592,2019
South Africa,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,119.89","6,353.85","5,977.95","5,067.15","5,443.94","5,599.90","5,688.04","5,777.82",2020
South Sudan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",277.692,359.062,309.718,295.661,314.644,366.378,376.963,390.103,2008
Spain,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","28,196.76","30,448.00","29,586.40","27,132.32","30,995.54","33,175.95","34,588.94","35,949.57",2019
Sri Lanka,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,076.75","4,057.33","3,851.67","3,678.73","3,829.94","3,976.91","4,209.17","4,461.15",2019
St. Kitts and Nevis,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","17,994.32","18,060.37","18,832.28","14,918.75","14,402.09","15,657.36","16,986.31","18,094.31",2015
St. Lucia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,275.12","11,560.86","11,803.10","9,351.36","9,815.95","11,023.04","11,535.13","11,972.07",2015
St. Vincent and the Grenadines,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,187.49","7,353.64","7,473.83","7,121.64","7,211.54","7,709.64","8,117.57","8,527.78",2016
Sudan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,172.97",854.872,776.549,775.043,787.443,769.398,767.198,772.809,2011
Suriname,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,514.71","5,871.20","6,191.28","3,988.45","4,030.21","4,154.09","4,317.61","4,452.14",2018
Sweden,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","53,459.07","54,295.73","51,443.11","51,796.38","58,976.79","61,710.85","64,298.49","66,922.40",2019
Switzerland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","83,702.15","86,802.56","85,685.99","86,849.47","94,696.13","99,180.73","101,482.83","105,230.65",2019
Syria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2010
Taiwan Province of China,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","25,061.62","25,825.57","25,935.90","28,305.92","32,122.53","34,283.76","35,970.31","37,772.37",2019
Tajikistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",800.802,825.77,873.499,843.974,810.339,843.912,874.471,907.292,2014
Tanzania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,002.87","1,036.93","1,079.68","1,090.39","1,103.61","1,139.13","1,173.67","1,214.82",2012
Thailand,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,596.22","7,293.89","7,815.41","7,190.37","7,701.63","8,246.65","8,664.02","9,065.29",2019
Timor-Leste,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,286.41","1,230.23","1,560.51","1,358.73","1,284.51","1,337.84","1,383.27","1,424.50",2019
Togo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",830.458,902.15,893.18,904.675,"1,016.13","1,075.95","1,132.59","1,197.08",2016
Tonga,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,577.00","4,836.44","5,150.55","5,125.12","5,080.68","5,426.53","5,740.51","6,019.73",2019
Trinidad and Tobago,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","16,173.66","17,037.95","16,637.11","15,384.13","15,752.19","16,464.99","16,952.17","17,354.23",2019
Tunisia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,436.20","3,442.69","3,324.13","3,322.93","3,683.08","3,835.96","3,958.26","4,078.66",2019
Turkey,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,628.90","9,506.84","9,150.86","8,548.18","9,327.27","10,075.66","10,941.40","11,821.79",2020
Turkmenistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,642.52","7,065.48","7,723.68","7,967.30","9,032.20","9,775.06","10,571.58","11,450.33",2004
Tuvalu,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,950.92","4,230.51","4,295.30","4,372.40","5,116.49","5,478.28","5,866.66","6,281.99",2012
Uganda,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",833.033,878.22,948.891,912.442,971.983,"1,025.06","1,022.76","1,071.83",2016
Ukraine,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,655.94","3,118.53","3,687.63","3,653.11","3,983.64","4,500.02","4,940.84","5,400.23",2019
United Arab Emirates,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","38,031.54","40,479.47","39,179.88","31,982.23","35,171.18","34,828.33","34,586.08","34,584.29",2019
United Kingdom,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","40,349.87","43,063.74","42,416.60","40,406.28","46,343.67","49,326.86","51,319.61","53,619.41",2019
United States,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","60,105.85","63,055.98","65,253.52","63,415.99","68,308.97","71,895.79","74,130.27","76,362.22",2019
Uruguay,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","18,388.31","18,472.83","17,681.21","15,777.96","15,653.11","16,455.23","17,128.91","17,804.36",2015
Uzbekistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,810.27","1,542.64","1,735.84","1,701.94","1,774.93","1,914.66","2,086.90","2,284.88",2019
Vanuatu,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,158.84","3,256.32","3,155.65","2,875.95","2,957.30","3,076.96","3,182.85","3,271.03",2017
Venezuela,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,725.05","3,404.43","2,299.31","1,690.66","1,541.70","1,501.02",n/a,n/a,2010
Vietnam,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,957.93","3,211.46","3,415.46","3,498.98","3,609.28","3,927.99","4,276.81","4,669.65",2019
West Bank and Gaza,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,407.31","3,353.23","3,442.75","3,042.17","3,155.85","3,346.08","3,443.17","3,496.71",2019
Yemen,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",891.888,762.136,713.072,620.24,753.987,757.754,834.68,863.574,2019
Zambia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,500.96","1,480.42","1,272.24",981.311,974.271,952.125,948.858,954.618,2019
Zimbabwe,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,516.28","1,440.59","1,293.01","1,385.04","1,683.72","1,856.44","1,813.84","1,819.05",2017
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"International Monetary Fund, World Economic Outlook Database, April 2021",,,,,,,,,,,,,
